epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,29923.9,0.91739,0.23444,0.35121,0.81022,1.21299,0.82913,0.82822,0.89859,0.71002,0.85451,0.82952,0.90687,0.87802,0.78194,0.20944,0.30387,0.63314,1.11071,0.00582435,0.00582435,0.00582435
56,30466.4,0.91588,0.23072,0.34944,0.79969,1.2111,0.83763,0.82204,0.89975,0.71109,0.85793,0.82775,0.90741,0.87877,0.78008,0.20834,0.30301,0.63102,1.10904,0.0056961,0.0056961,0.0056961
57,31012.6,0.91147,0.2309,0.34646,0.79848,1.20526,0.84144,0.81979,0.90039,0.71219,0.86024,0.82876,0.90814,0.87929,0.77776,0.20731,0.30201,0.62875,1.10613,0.00556742,0.00556742,0.00556742
58,31557.4,0.90813,0.23048,0.3459,0.79291,1.20475,0.8397,0.81987,0.90119,0.713,0.86283,0.82658,0.90893,0.88051,0.77591,0.20609,0.30099,0.62662,1.10381,0.00543837,0.00543837,0.00543837
59,32102.8,0.90608,0.22795,0.34537,0.78953,1.20049,0.84156,0.81899,0.90165,0.71416,0.86714,0.82446,0.90907,0.881,0.77363,0.2052,0.3004,0.62456,1.10108,0.00530906,0.00530906,0.00530906
60,32650,0.90565,0.22437,0.34437,0.79007,1.20301,0.84185,0.8191,0.90208,0.71449,0.86813,0.82324,0.90958,0.88157,0.77206,0.20413,0.29978,0.62289,1.09914,0.00517958,0.00517958,0.00517958
61,33190.9,0.90163,0.22386,0.34502,0.78652,1.20041,0.84391,0.81882,0.90247,0.71586,0.86897,0.82264,0.90992,0.88259,0.77061,0.20303,0.29908,0.62156,1.09743,0.00505,0.00505,0.00505
62,33731.7,0.89875,0.22284,0.3414,0.78256,1.19547,0.8433,0.8198,0.90339,0.71665,0.86663,0.8249,0.91055,0.8836,0.76877,0.20193,0.29813,0.61962,1.09518,0.00492042,0.00492042,0.00492042
63,34273.3,0.8986,0.22124,0.34218,0.77966,1.19657,0.84341,0.82162,0.90408,0.71717,0.86202,0.82831,0.91102,0.88431,0.76778,0.2008,0.2975,0.61789,1.09368,0.00479094,0.00479094,0.00479094
64,34818.1,0.89523,0.21976,0.3396,0.78163,1.19221,0.84348,0.82223,0.90438,0.71768,0.85993,0.82787,0.91115,0.88442,0.76684,0.19973,0.29684,0.61571,1.09221,0.00466163,0.00466163,0.00466163
65,35359,0.89241,0.21888,0.33832,0.77628,1.18812,0.83461,0.83376,0.90485,0.71885,0.86231,0.82803,0.91204,0.88532,0.7653,0.19881,0.29595,0.61419,1.08994,0.00453258,0.00453258,0.00453258
66,35905.7,0.88783,0.21764,0.33702,0.76896,1.18822,0.83714,0.83049,0.90554,0.71951,0.86105,0.83057,0.91274,0.88629,0.76415,0.19774,0.29515,0.61267,1.0886,0.0044039,0.0044039,0.0044039
67,36450.5,0.88567,0.21577,0.33705,0.76656,1.18756,0.84219,0.82588,0.90582,0.72035,0.86334,0.82689,0.91312,0.88667,0.76262,0.19656,0.29449,0.61058,1.08697,0.00427565,0.00427565,0.00427565
68,36992.6,0.88419,0.21319,0.33441,0.76288,1.18307,0.84344,0.82572,0.90625,0.72125,0.86506,0.82808,0.91366,0.88744,0.76123,0.1959,0.29381,0.60862,1.08541,0.00414793,0.00414793,0.00414793
69,37532.9,0.88203,0.21083,0.33381,0.75872,1.18067,0.84596,0.82567,0.90704,0.7219,0.86666,0.82514,0.91339,0.88734,0.76077,0.19489,0.29303,0.60692,1.0842,0.00402084,0.00402084,0.00402084
70,38081.2,0.88228,0.21157,0.33346,0.75873,1.18279,0.84359,0.82662,0.90729,0.72282,0.86052,0.83175,0.91397,0.8882,0.76011,0.19407,0.29239,0.60512,1.08307,0.00389445,0.00389445,0.00389445
